id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,point_capture_progress,MapDataId
761,36,point_progress,395.02,2,T_a02bf5e9,1,99.99,53
762,36,point_progress,463.57,3,T_a02bf5e9,3,33.39,53
763,36,point_progress,466.25,3,T_a02bf5e9,3,66.79,53
764,36,point_progress,477.51,3,T_a02bf5e9,3,33.3,53
765,36,point_progress,479.3,3,T_a02bf5e9,3,66.9,53
766,36,point_progress,481.06,3,T_a02bf5e9,3,99.9,53
767,36,point_progress,551.28,3,T_a02bf5e9,3,33.36,53
768,36,point_progress,615.76,4,T_a02bf5e9,2,33.49,53
769,36,point_progress,617.17,4,T_a02bf5e9,2,66.69,53
770,36,point_progress,618.67,4,T_a02bf5e9,2,99.99,53
771,36,point_progress,754.2,5,T_a02bf5e9,4,33.48,53
772,36,point_progress,758.21,5,T_a02bf5e9,4,66.86,53
773,36,point_progress,789.43,5,T_a02bf5e9,4,33.45,53
774,36,point_progress,791.2,5,T_a02bf5e9,4,66.75,53
775,36,point_progress,820.53,5,T_a02bf5e9,4,33.39,53
776,36,point_progress,845.68,5,T_a02bf5e9,4,66.77,53
777,36,point_progress,898.69,5,T_a02bf5e9,4,33.57,53
778,36,point_progress,900.05,5,T_a02bf5e9,4,66.68,53
779,36,point_progress,194.1,1,T_a02bf5e9,0,33.44,54
780,36,point_progress,199.54,1,T_a02bf5e9,0,66.68,54
781,36,point_progress,204.02,1,T_a02bf5e9,0,99.9,54
782,36,point_progress,575.58,2,T_5568bd9d,0,33.34,54
783,36,point_progress,582.33,2,T_5568bd9d,0,66.62,54
784,36,point_progress,746.33,2,T_5568bd9d,0,99.97,54
785,36,point_progress,35.33,1,T_f27c3e61,2,33.39,56
786,36,point_progress,38,1,T_f27c3e61,2,66.79,56
787,36,point_progress,40.66,1,T_f27c3e61,2,99.99,56
788,36,point_progress,107.76,1,T_a02bf5e9,2,33.59,56
789,36,point_progress,110.43,1,T_a02bf5e9,2,66.99,56
790,36,point_progress,113.07,1,T_a02bf5e9,2,99.99,56
791,36,point_progress,137.02,1,T_5568bd9d,2,33.59,56
792,36,point_progress,139.68,1,T_5568bd9d,2,66.79,56
793,36,point_progress,142.34,1,T_5568bd9d,2,99.99,56
794,36,point_progress,148.02,1,T_a02bf5e9,2,33.38,56
