id,scrimId,event_type,match_time,round_number,previous_objective_index,current_objective_index,MapDataId
14119,1104,objective_updated,346.52,1,3,4,4332
14120,1104,objective_updated,390.36,1,4,3,4332
14121,1104,objective_updated,459.68,1,3,2,4332
14122,1104,objective_updated,502.37,1,2,1,4332
14123,1104,objective_updated,553.8,1,1,0,4332
14155,1106,objective_updated,0,1,0,1,4341
14156,1106,objective_updated,215.12,2,1,2,4341
14157,1106,objective_updated,443.02,3,2,0,4341
14171,1106,objective_updated,179.69,2,0,4,4345
14172,1106,objective_updated,353.59,3,4,1,4345
14173,1106,objective_updated,504.43,4,1,2,4345
14174,1106,objective_updated,630.46,5,2,3,4345
14175,1106,objective_updated,871.43,6,3,0,4345
14176,1106,objective_updated,0,1,0,2,4346
14177,1106,objective_updated,56.83,1,2,3,4346
14178,1106,objective_updated,113.56,1,3,4,4346
14179,1106,objective_updated,171.93,1,4,3,4346
14180,1106,objective_updated,259.2,1,3,2,4346
14181,1106,objective_updated,329.81,1,2,3,4346
14182,1106,objective_updated,373.08,1,3,4,4346
14183,1106,objective_updated,431.4,1,4,3,4346
14184,1106,objective_updated,474.32,1,3,2,4346
14185,1106,objective_updated,548.39,1,2,3,4346
14189,1108,objective_updated,211.16,2,0,2,4348
14190,1108,objective_updated,390.73,3,2,1,4348
14191,1108,objective_updated,77.15,1,0,1,4349
14192,1108,objective_updated,161.08,1,1,2,4349
14193,1108,objective_updated,245.66,1,2,3,4349
14194,1108,objective_updated,245.67,2,3,0,4349
14195,1108,objective_updated,456.93,2,0,1,4349
14196,1108,objective_updated,215.53,2,0,1,4350
14197,1108,objective_updated,352.83,3,1,2,4350
14198,1108,objective_updated,535.23,4,2,3,4350
14199,1108,objective_updated,678.21,5,3,4,4350
14200,1108,objective_updated,913.5,6,4,2,4350
14232,1112,objective_updated,260.24,2,0,1,4360
14233,1112,objective_updated,489.06,3,1,2,4360
14245,1112,objective_updated,180.3,2,0,2,4364
14246,1112,objective_updated,410.92,3,2,4,4364
14247,1112,objective_updated,696.36,4,4,1,4364
14248,1112,objective_updated,824.45,5,1,3,4364
14249,1112,objective_updated,941.36,6,3,0,4364
14250,1112,objective_updated,0,1,0,2,4365
14251,1112,objective_updated,217.45,2,2,1,4365
14252,1112,objective_updated,465.97,3,1,0,4365
14266,1113,objective_updated,126.19,1,0,1,4369
14267,1113,objective_updated,361.45,1,1,2,4369
14268,1113,objective_updated,512.1,2,2,0,4369
14269,1113,objective_updated,565.04,2,0,1,4369
