[00:02:05] ;player_ult;Electric;1;0
[00:02:05] ;player_status;burninate;Tracer;(34.16, 10.00, -135.56)
[00:02:05] ;player_health;burninate;150;150
[00:02:05] ;player_ult;burninate;2;0
[00:02:05] ;player_status;JohnnyB;Brigitte;(16.17, 13.28, -123.60)
[00:02:05] ;player_health;JohnnyB;200;200
[00:02:05] ;player_ult;JohnnyB;1;0
[00:02:05] ;player_status;hypnobeam;Reinhardt;(72.59, 13.19, -117.25)
[00:02:05] ;player_health;hypnobeam;550;550
[00:02:05] ;player_ult;hypnobeam;1;0
[00:02:05] ;player_status;jhan;Mei;(85.25, 13.71, -117.94)
[00:02:05] ;player_health;jhan;250;250
[00:02:05] ;player_ult;jhan;1;0
[00:02:05] ;player_status;ModWilliam;McCree;(16.41, 12.95, -118.89)
[00:02:05] ;player_health;ModWilliam;225;225
[00:02:05] ;player_ult;ModWilliam;1;0
[00:02:05] ;player_status;BiggieZ;McCree;(79.46, 15.63, -117.92)
[00:02:05] ;player_health;BiggieZ;225;225
[00:02:05] ;player_ult;BiggieZ;1;0
[00:02:05] ;player_status;MortalWombat;Winston;(33.06, 11.83, -116.51)
[00:02:05] ;player_health;MortalWombat;500;500
[00:02:05] ;player_ult;MortalWombat;1;0
[00:02:05] ;player_status;Yomi;Lúcio;(78.97, 12.94, -115.43)
[00:02:05] ;player_health;Yomi;200;200
[00:02:05] ;player_ult;Yomi;1;0
[00:02:05] ;player_status;Catalyst;Baptiste;(84.38, 13.80, -116.24)
[00:02:05] ;player_health;Catalyst;200;200
[00:02:05] ;player_ult;Catalyst;1;0
[00:02:06] ;damage_dealt;seniorcheese;42;MortalWombat
[00:02:06] ;player_status;seniorcheese;Zarya;(69.03, 10.80, -115.77)
[00:02:06] ;player_health;seniorcheese;351.10;400
[00:02:06] ;player_ult;seniorcheese;3;0
[00:02:06] ;player_status;Midreadias;Zarya;(14.76, 13.94, -121.13)
[00:02:06] ;player_health;Midreadias;400;400
[00:02:06] ;player_ult;Midreadias;1;0
[00:02:06] ;player_status;Electric;Ana;(15.17, 13.00, -121.08)
[00:02:06] ;player_health;Electric;200;200
[00:02:06] ;player_ult;Electric;1;0
[00:02:06] ;player_status;burninate;Tracer;(39.66, 10.98, -136.46)
[00:02:06] ;player_health;burninate;150;150
[00:02:06] ;player_ult;burninate;2;0
[00:02:06] ;player_status;JohnnyB;Brigitte;(18.51, 12.93, -120.48)
[00:02:06] ;player_health;JohnnyB;200;200
[00:02:06] ;player_ult;JohnnyB;1;0
[00:02:06] ;player_status;hypnobeam;Reinhardt;(67.67, 11.03, -115.72)
[00:02:06] ;player_health;hypnobeam;550;550
[00:02:06] ;player_ult;hypnobeam;2;0
[00:02:06] ;player_status;jhan;Mei;(78.67, 12.93, -117.04)
[00:02:06] ;player_health;jhan;250;250
[00:02:06] ;player_ult;jhan;2;0
[00:02:06] ;player_status;ModWilliam;McCree;(20.78, 12.93, -116.16)
[00:02:06] ;player_health;ModWilliam;225;225
[00:02:06] ;player_ult;ModWilliam;2;0
[00:02:06] ;player_status;BiggieZ;McCree;(73.35, 11.61, -116.13)
[00:02:06] ;player_health;BiggieZ;225;225
[00:02:06] ;player_ult;BiggieZ;2;0
[00:02:06] ;player_status;MortalWombat;Winston;(38.49, 10.29, -116.40)
[00:02:06] ;player_health;MortalWombat;458;500
[00:02:06] ;player_ult;MortalWombat;2;0
[00:02:06] ;player_status;Yomi;Lúcio;(73.29, 12.25, -118.14)
[00:02:06] ;player_health;Yomi;200;200
[00:02:06] ;player_ult;Yomi;1;0
[00:02:06] ;player_status;Catalyst;Baptiste;(78.58, 12.94, -116.08)
[00:02:06] ;player_health;Catalyst;200;200
[00:02:06] ;player_ult;Catalyst;1;0
[00:02:07] ;did_healing;Electric;2.24;MortalWombat
[00:02:07] ;did_healing;Electric;26.88;MortalWombat
[00:02:07] ;player_status;seniorcheese;Zarya;(62.94, 10.64, -114.00)
[00:02:07] ;player_health;seniorcheese;379.90;400
[00:02:07] ;player_ult;seniorcheese;3;0
[00:02:07] ;player_status;Midreadias;Zarya;(19.86, 13.91, -118.69)
[00:02:07] ;player_health;Midreadias;400;400
[00:02:07] ;player_ult;Midreadias;1;0
[00:02:07] ;player_status;Electric;Ana;(18.29, 12.93, -118.35)
[00:02:07] ;player_health;Electric;200;200
[00:02:07] ;player_ult;Electric;3;0
[00:02:07] ;player_status;burninate;Tracer;(45.58, 10.97, -137.25)
[00:02:07] ;player_health;burninate;150;150
[00:02:07] ;player_ult;burninate;3;0
[00:02:07] ;player_status;JohnnyB;Brigitte;(21.31, 13.64, -116.99)
[00:02:07] ;player_health;JohnnyB;200;200
[00:02:07] ;player_ult;JohnnyB;1;0
[00:02:07] ;player_status;hypnobeam;Reinhardt;(62.76, 10.00, -114.76)
[00:02:07] ;player_health;hypnobeam;550;550
[00:02:07] ;player_ult;hypnobeam;2;0
[00:02:07] ;player_status;jhan;Mei;(71.79, 11.03, -116.43)
[00:02:07] ;player_health;jhan;250;250
[00:02:07] ;player_ult;jhan;2;0
[00:02:07] ;player_status;ModWilliam;McCree;(22.78, 12.95, -115.10)
[00:02:07] ;player_health;ModWilliam;225;225
[00:02:07] ;player_ult;ModWilliam;2;0
[00:02:07] ;player_status;BiggieZ;McCree;(68.12, 11.66, -112.18)
[00:02:07] ;player_health;BiggieZ;225;225
[00:02:07] ;player_ult;BiggieZ;2;0
[00:02:07] ;player_status;MortalWombat;Winston;(43.50, 10.00, -116.57)
[00:02:07] ;player_health;MortalWombat;487.12;500
[00:02:07] ;player_ult;MortalWombat;2;0
[00:02:07] ;player_status;Yomi;Lúcio;(68.35, 10.00, -113.81)
[00:02:07] ;player_health;Yomi;200;200
[00:02:07] ;player_ult;Yomi;1;0
[00:02:07] ;player_status;Catalyst;Baptiste;(72.38, 11.25, -115.51)
[00:02:07] ;player_health;Catalyst;200;200
[00:02:07] ;player_ult;Catalyst;1;0
[00:02:07] ;did_healing;Electric;12.88;MortalWombat
[00:02:08] ;damage_dealt;burninate;3.60;jhan
[00:02:08] ;damage_dealt;burninate;1.80;jhan
[00:02:08] ;damage_dealt;burninate;3.60;Catalyst
[00:02:08] ;damage_dealt;burninate;1.80;Catalyst
[00:02:08] ;damage_dealt;burninate;1.80;Catalyst
[00:02:08] ;player_status;seniorcheese;Zarya;(58.62, 10.00, -113.21)
[00:02:08] ;player_health;seniorcheese;400;400
[00:02:08] ;player_ult;seniorcheese;4;0
[00:02:08] ;player_status;Midreadias;Zarya;(25.00, 12.93, -117.20)
[00:02:08] ;player_health;Midreadias;400;400
[00:02:08] ;player_ult;Midreadias;2;0
[00:02:08] ;player_status;Electric;Ana;(19.68, 12.93, -117.10)
[00:02:08] ;player_health;Electric;200;200
[00:02:08] ;player_ult;Electric;4;0
[00:02:08] ;player_status;burninate;Tracer;(50.35, 11.00, -134.94)
[00:02:08] ;player_health;burninate;150;150
[00:02:08] ;player_ult;burninate;4;0
[00:02:08] ;player_status;JohnnyB;Brigitte;(25.04, 13.00, -113.81)
[00:02:08] ;player_health;JohnnyB;200;200
[00:02:08] ;player_ult;JohnnyB;1;0
[00:02:08] ;player_status;hypnobeam;Reinhardt;(57.71, 10.00, -114.52)
[00:02:08] ;player_health;hypnobeam;550;550
[00:02:08] ;player_ult;hypnobeam;2;0
[00:02:08] ;player_status;jhan;Mei;(66.63, 10.77, -111.87)
[00:02:08] ;player_health;jhan;244.60;250
[00:02:08] ;player_ult;jhan;2;0
[00:02:08] ;player_status;ModWilliam;McCree;(24.58, 12.93, -117.13)
[00:02:08] ;player_health;ModWilliam;225;225
[00:02:08] ;player_ult;ModWilliam;2;0
[00:02:08] ;player_status;BiggieZ;McCree;(62.80, 10.03, -111.15)
[00:02:08] ;player_health;BiggieZ;225;225
[00:02:08] ;player_ult;BiggieZ;2;0
[00:02:08] ;player_status;MortalWombat;Winston;(46.20, 10.00, -118.17)
[00:02:08] ;player_health;MortalWombat;500;500
[00:02:08] ;player_ult;MortalWombat;2;0
[00:02:08] ;player_status;Yomi;Lúcio;(64.46, 10.00, -114.03)
[00:02:08] ;player_health;Yomi;200;200
[00:02:08] ;player_ult;Yomi;1;0
[00:02:08] ;player_status;Catalyst;Baptiste;(66.90, 9.95, -114.56)
[00:02:08] ;player_health;Catalyst;192.80;200
[00:02:08] ;player_ult;Catalyst;1;0
[00:02:08] ;damage_dealt;BiggieZ;38.54;ModWilliam
[00:02:09] ;did_healing;Electric;2.24;ModWilliam
[00:02:09] ;did_healing;Electric;26.88;ModWilliam
[00:02:09] ;did_healing;Electric;9.42;ModWilliam
[00:02:09] ;player_status;seniorcheese;Zarya;(57.34, 10.03, -111.28)
[00:02:09] ;player_health;seniorcheese;400;400
[00:02:09] ;player_ult;seniorcheese;4;0
[00:02:09] ;player_status;Midreadias;Zarya;(29.74, 11.87, -117.76)
[00:02:09] ;player_health;Midreadias;400;400
[00:02:09] ;player_ult;Midreadias;2;0
[00:02:09] ;player_status;Electric;Ana;(20.04, 12.94, -115.52)
[00:02:09] ;player_health;Electric;200;200
[00:02:09] ;player_ult;Electric;6;0
[00:02:09] ;player_status;burninate;Tracer;(52.90, 11.01, -134.05)
[00:02:09] ;player_health;burninate;150;150
[00:02:09] ;player_ult;burninate;4;0
[00:02:09] ;player_status;JohnnyB;Brigitte;(24.28, 12.94, -116.42)
[00:02:09] ;player_health;JohnnyB;200;200
[00:02:09] ;player_ult;JohnnyB;1;0
[00:02:09] ;player_status;hypnobeam;Reinhardt;(55.27, 10.00, -114.36)
[00:02:09] ;player_health;hypnobeam;547.98;550
[00:02:09] ;player_ult;hypnobeam;3;0
[00:02:09] ;player_status;jhan;Mei;(60.93, 10.98, -111.29)
[00:02:09] ;player_health;jhan;244.60;250
[00:02:09] ;player_ult;jhan;3;0
[00:02:09] ;player_status;ModWilliam;McCree;(22.18, 12.94, -115.70)
[00:02:09] ;player_health;ModWilliam;225;225
[00:02:09] ;player_ult;ModWilliam;2;0
[00:02:09] ;player_status;BiggieZ;McCree;(58.40, 10.03, -111.58)
[00:02:09] ;player_health;BiggieZ;225;225
[00:02:09] ;player_ult;BiggieZ;5;0
[00:02:09] ;damage_dealt;MortalWombat;2.02;hypnobeam
[00:02:09] ;player_status;MortalWombat;Winston;(47.24, 10.00, -114.73)
[00:02:09] ;player_health;MortalWombat;500;500
[00:02:09] ;player_ult;MortalWombat;3;0
[00:02:09] ;player_status;Yomi;Lúcio;(63.35, 10.00, -114.33)
[00:02:09] ;player_health;Yomi;200;200
[00:02:09] ;player_ult;Yomi;1;0
[00:02:09] ;player_status;Catalyst;Baptiste;(64.69, 10.03, -110.87)
[00:02:09] ;player_health;Catalyst;192.80;200
[00:02:09] ;player_ult;Catalyst;2;0
[00:02:09] ;damage_dealt;MortalWombat;4.03;hypnobeam
[00:02:10] ;damage_dealt;MortalWombat;4.03;hypnobeam
[00:02:10] ;damage_dealt;MortalWombat;3.36;hypnobeam
[00:02:10] ;did_healing;Catalyst;13.44;hypnobeam
[00:02:10] ;damage_dealt;seniorcheese;47;Midreadias
[00:02:10] ;damage_dealt;MortalWombat;4.80;seniorcheese
[00:02:10] ;did_healing;Yomi;1.02;Catalyst
[00:02:10] ;did_healing;Yomi;1.02;jhan
[00:02:10] ;damage_dealt;Midreadias;47;seniorcheese
[00:02:10] ;damage_dealt;MortalWombat;5.76;seniorcheese
[00:02:10] ;damage_dealt;MortalWombat;5.76;seniorcheese
[00:02:10] ;did_healing;Yomi;2.82;Catalyst
[00:02:10] ;did_healing;Yomi;2.82;seniorcheese
[00:02:10] ;did_healing;Yomi;3.07;jhan
[00:02:10] ;damage_dealt;MortalWombat;5.76;seniorcheese
[00:02:10] ;damage_dealt;seniorcheese;1.06;MortalWombat
[00:02:10] ;used_ability_1;seniorcheese;Zarya;<Icon>
[00:02:10] ;did_healing;Yomi;3.07;Catalyst
[00:02:10] ;did_healing;Yomi;3.07;seniorcheese
[00:02:10] ;did_healing;Yomi;1.30;jhan
[00:02:10] ;damage_dealt;seniorcheese;6.41;MortalWombat
[00:02:10] ;player_status;seniorcheese;Zarya;(51.52, 10.01, -113.95)
[00:02:10] ;player_health;seniorcheese;336.81;400
[00:02:10] ;player_ult;seniorcheese;7;0
[00:02:10] ;player_status;Midreadias;Zarya;(33.75, 10.37, -115.66)
[00:02:10] ;player_health;Midreadias;353;400
[00:02:10] ;player_ult;Midreadias;4;0
[00:02:10] ;player_status;Electric;Ana;(19.65, 12.94, -115.89)
[00:02:10] ;player_health;Electric;200;200
[00:02:10] ;player_ult;Electric;6;0
[00:02:10] ;player_status;burninate;Tracer;(48.64, 10.65, -129.97)
[00:02:10] ;player_health;burninate;150;150
[00:02:10] ;player_ult;burninate;5;0
[00:02:10] ;player_status;JohnnyB;Brigitte;(28.87, 12.20, -117.96)
[00:02:10] ;player_health;JohnnyB;200;200
[00:02:10] ;player_ult;JohnnyB;1;0
[00:02:10] ;player_status;hypnobeam;Reinhardt;(56.54, 10.00, -114.94)
[00:02:10] ;player_health;hypnobeam;550;550
[00:02:10] ;player_ult;hypnobeam;3;0
[00:02:10] ;player_status;jhan;Mei;(59.94, 10.00, -113.68)
[00:02:10] ;player_health;jhan;250;250
[00:02:10] ;player_ult;jhan;3;0
[00:02:10] ;player_status;ModWilliam;McCree;(25.02, 13.34, -117.80)
[00:02:10] ;player_health;ModWilliam;225;225
[00:02:10] ;player_ult;ModWilliam;3;0
