[00:01:37] ;player_health;Electric;200;200
[00:01:37] ;player_ult;Electric;1;0
[00:01:37] ;player_status;Catalyst;Ana;(34.74, -0.85, 9.44)
[00:01:37] ;player_health;Catalyst;200;200
[00:01:37] ;player_ult;Catalyst;2;0
[00:01:37] ;player_status;ModWilliam;Ashe;(78.31, 6.25, 12.69)
[00:01:37] ;player_health;ModWilliam;200;200
[00:01:37] ;player_ult;ModWilliam;2;0
[00:01:37] ;player_status;Midreadias;D.Va;(74.48, 6.34, 11.57)
[00:01:37] ;player_health;Midreadias;598.50;600
[00:01:37] ;player_ult;Midreadias;2;0
[00:01:37] ;player_status;MortalWombat;Winston;(72.09, 6.25, 14.05)
[00:01:37] ;player_health;MortalWombat;497.90;500
[00:01:37] ;player_ult;MortalWombat;2;0
[00:01:37] ;player_status;BiggieZ;Tracer;(61.31, -1.75, 1.74)
[00:01:37] ;player_health;BiggieZ;150;150
[00:01:37] ;player_ult;BiggieZ;3;0
[00:01:37] ;player_status;JohnnyB;Ana;(91.41, 6.25, 11.33)
[00:01:37] ;player_health;JohnnyB;200;200
[00:01:37] ;player_ult;JohnnyB;2;0
[00:01:37] ;player_status;jhan;Pharah;(43.56, 9.75, 8.84)
[00:01:37] ;player_health;jhan;200;200
[00:01:37] ;player_ult;jhan;2;0
[00:01:37] ;player_status;seniorcheese;D.Va;(44.40, -2.17, 5.12)
[00:01:37] ;player_health;seniorcheese;600;600
[00:01:37] ;player_ult;seniorcheese;3;0
[00:01:37] ;player_status;Yomi;Mercy;(39.69, 6.04, 7.24)
[00:01:37] ;player_health;Yomi;200;200
[00:01:37] ;player_ult;Yomi;2;0
[00:01:37] ;player_status;burninate;Tracer;(81.09, 6.25, 15.69)
[00:01:37] ;player_health;burninate;150;150
[00:01:37] ;player_ult;burninate;3;0
[00:01:38] ;player_status;hypnobeam;Winston;(52.91, -0.94, 6.56)
[00:01:38] ;player_health;hypnobeam;500;500
[00:01:38] ;player_ult;hypnobeam;3;0
[00:01:38] ;player_status;Electric;Brigitte;(98.35, 6.25, 6.01)
[00:01:38] ;player_health;Electric;200;200
[00:01:38] ;player_ult;Electric;1;0
[00:01:38] ;player_status;Catalyst;Ana;(38.96, -1.29, 6.48)
[00:01:38] ;player_health;Catalyst;200;200
[00:01:38] ;player_ult;Catalyst;2;0
[00:01:38] ;player_status;ModWilliam;Ashe;(78.37, 6.25, 13.07)
[00:01:38] ;player_health;ModWilliam;200;200
[00:01:38] ;player_ult;ModWilliam;2;0
[00:01:38] ;player_status;Midreadias;D.Va;(76.87, 6.25, 10.24)
[00:01:38] ;player_health;Midreadias;598.50;600
[00:01:38] ;player_ult;Midreadias;3;0
[00:01:38] ;player_status;MortalWombat;Winston;(73.21, 6.25, 14.38)
[00:01:38] ;player_health;MortalWombat;497.90;500
[00:01:38] ;player_ult;MortalWombat;3;0
[00:01:38] ;player_status;BiggieZ;Tracer;(66.38, -1.75, -1.54)
[00:01:38] ;player_health;BiggieZ;150;150
[00:01:38] ;player_ult;BiggieZ;3;0
[00:01:38] ;player_status;JohnnyB;Ana;(91.46, 6.25, 11.01)
[00:01:38] ;player_health;JohnnyB;200;200
[00:01:38] ;player_ult;JohnnyB;2;0
[00:01:38] ;player_status;jhan;Pharah;(48.20, 11.07, 9.43)
[00:01:38] ;player_health;jhan;200;200
[00:01:38] ;player_ult;jhan;2;0
[00:01:38] ;player_status;seniorcheese;D.Va;(47.93, -2.17, 5.64)
[00:01:38] ;player_health;seniorcheese;600;600
[00:01:38] ;player_ult;seniorcheese;3;0
[00:01:38] ;player_status;Yomi;Mercy;(44.18, 4.07, 4.79)
[00:01:38] ;player_health;Yomi;200;200
[00:01:38] ;player_ult;Yomi;2;0
[00:01:38] ;player_status;burninate;Tracer;(79.03, 6.25, 14.06)
[00:01:38] ;player_health;burninate;150;150
[00:01:38] ;player_ult;burninate;3;0
[00:01:38] ;damage_dealt;jhan;99;MortalWombat
[00:01:38] ;used_ability_1;Yomi;Mercy;<Icon>
[00:01:39] ;did_healing;JohnnyB;2.24;MortalWombat
[00:01:39] ;did_healing;JohnnyB;26.88;MortalWombat
[00:01:39] ;did_healing;JohnnyB;26.88;MortalWombat
