[00:01:44] ;player_ult;jhan;1;0
[00:01:44] ;player_status;Electric;Lúcio;(-14.98, -0.13, -34.61)
[00:01:44] ;player_health;Electric;200;200
[00:01:44] ;player_ult;Electric;0;0
[00:01:44] ;player_status;MortalWombat;Reinhardt;(-18.60, -0.11, -33.02)
[00:01:44] ;player_health;MortalWombat;550;550
[00:01:44] ;player_ult;MortalWombat;1;0
[00:01:44] ;player_status;BiggieZ;Symmetra;(-7.44, -0.11, 3.52)
[00:01:44] ;player_health;BiggieZ;225;225
[00:01:44] ;player_ult;BiggieZ;1;0
[00:01:44] ;player_status;Catalyst;Baptiste;(-4.83, 0.46, 9.75)
[00:01:44] ;player_health;Catalyst;200;200
[00:01:44] ;player_ult;Catalyst;6;0
[00:01:44] ;player_status;SolidGhost;Lúcio;(-8.24, -0.10, 5.32)
[00:01:44] ;player_health;SolidGhost;200;200
[00:01:44] ;player_ult;SolidGhost;0;0
[00:01:44] ;player_status;Midreadias;Zarya;(-15.27, -0.12, -28.78)
[00:01:44] ;player_health;Midreadias;400;400
[00:01:44] ;player_ult;Midreadias;0;0
[00:01:44] ;used_ability_2;BiggieZ;Symmetra;<Icon>
[00:01:45] ;player_status;JohnnyB;Moira;(-25.92, 0.72, -22.83)
[00:01:45] ;player_health;JohnnyB;200;200
[00:01:45] ;player_ult;JohnnyB;6;0
[00:01:45] ;player_status;ModWilliam;Mei;(-19.19, -0.11, -29.76)
[00:01:45] ;player_health;ModWilliam;250;250
[00:01:45] ;player_ult;ModWilliam;1;0
[00:01:45] ;player_status;hypnobeam;Reinhardt;(-5.62, 0.78, -6.20)
[00:01:45] ;player_health;hypnobeam;550;550
[00:01:45] ;player_ult;hypnobeam;1;0
[00:01:45] ;player_status;teejusb;Symmetra;(-16.86, -0.12, -31.23)
[00:01:45] ;player_health;teejusb;225;225
[00:01:45] ;player_ult;teejusb;1;0
[00:01:45] ;player_status;seniorcheese;Zarya;(-3.65, -0.12, -5.72)
[00:01:45] ;player_health;seniorcheese;400;400
[00:01:45] ;player_ult;seniorcheese;1;0
[00:01:45] ;player_status;jhan;Mei;(-6.86, 0.06, 0.67)
[00:01:45] ;player_health;jhan;239.60;250
[00:01:45] ;player_ult;jhan;1;0
[00:01:45] ;player_status;Electric;Lúcio;(-19.20, -0.11, -30.55)
[00:01:45] ;player_health;Electric;200;200
[00:01:45] ;player_ult;Electric;0;0
[00:01:45] ;player_status;MortalWombat;Reinhardt;(-13.35, -0.11, -28.86)
[00:01:45] ;player_health;MortalWombat;550;550
[00:01:45] ;player_ult;MortalWombat;1;0
[00:01:45] ;player_status;BiggieZ;Symmetra;(-5.57, 0.28, -3.15)
[00:01:45] ;player_health;BiggieZ;225;225
[00:01:45] ;player_ult;BiggieZ;1;0
[00:01:45] ;player_status;Catalyst;Baptiste;(-7.71, 0.73, 4.05)
[00:01:45] ;player_health;Catalyst;200;200
[00:01:45] ;player_ult;Catalyst;6;0
[00:01:45] ;player_status;SolidGhost;Lúcio;(-3.66, 2.67, -1.52)
[00:01:45] ;player_health;SolidGhost;200;200
[00:01:45] ;player_ult;SolidGhost;0;0
[00:01:45] ;player_status;Midreadias;Zarya;(-13.50, -0.11, -28.50)
[00:01:45] ;player_health;Midreadias;400;400
[00:01:45] ;player_ult;Midreadias;1;0
[00:01:45] ;damage_dealt;seniorcheese;1.06;MortalWombat
[00:01:45] ;used_ability_1;seniorcheese;Zarya;<Icon>
[00:01:45] ;damage_dealt;seniorcheese;3.19;MortalWombat
[00:01:46] ;player_status;JohnnyB;Moira;(-26.42, 0.72, -23.34)
[00:01:46] ;player_health;JohnnyB;200;200
[00:01:46] ;player_ult;JohnnyB;7;0
[00:01:46] ;player_status;ModWilliam;Mei;(-18.60, -0.12, -30.51)
[00:01:46] ;player_health;ModWilliam;250;250
[00:01:46] ;player_ult;ModWilliam;1;0
[00:01:46] ;player_status;hypnobeam;Reinhardt;(-2.70, -0.11, -9.11)
[00:01:46] ;player_health;hypnobeam;550;550
[00:01:46] ;player_ult;hypnobeam;1;0
[00:01:46] ;player_status;teejusb;Symmetra;(-20.40, -0.11, -29.87)
[00:01:46] ;player_health;teejusb;225;225
[00:01:46] ;player_ult;teejusb;1;0
[00:01:46] ;player_status;seniorcheese;Zarya;(-3.49, 0.05, -12.26)
[00:01:46] ;player_health;seniorcheese;400;400
[00:01:46] ;player_ult;seniorcheese;1;0
[00:01:46] ;player_status;jhan;Mei;(-5.73, -0.12, -4.05)
[00:01:46] ;player_health;jhan;239.60;250
[00:01:46] ;player_ult;jhan;1;0
[00:01:46] ;player_status;Electric;Lúcio;(-20.12, -0.11, -34.07)
[00:01:46] ;player_health;Electric;200;200
[00:01:46] ;player_ult;Electric;1;0
[00:01:46] ;player_status;MortalWombat;Reinhardt;(-9.77, -0.13, -24.50)
[00:01:46] ;player_health;MortalWombat;545.74;550
[00:01:46] ;player_ult;MortalWombat;1;0
[00:01:46] ;player_status;BiggieZ;Symmetra;(-4.02, -0.11, -9.15)
[00:01:46] ;player_health;BiggieZ;225;225
[00:01:46] ;player_ult;BiggieZ;1;0
[00:01:46] ;player_status;Catalyst;Baptiste;(-7.09, -0.12, -1.47)
[00:01:46] ;player_health;Catalyst;200;200
[00:01:46] ;player_ult;Catalyst;6;0
[00:01:46] ;player_status;SolidGhost;Lúcio;(1.87, 3.54, -8.40)
[00:01:46] ;player_health;SolidGhost;200;200
[00:01:46] ;player_ult;SolidGhost;1;0
[00:01:46] ;player_status;Midreadias;Zarya;(-13.97, 0.07, -26.19)
[00:01:46] ;player_health;Midreadias;400;400
[00:01:46] ;player_ult;Midreadias;1;0
[00:01:46] ;damage_dealt;Electric;20;seniorcheese
[00:01:46] ;did_healing;Catalyst;20;seniorcheese
[00:01:46] ;used_ability_1;BiggieZ;Symmetra;<Icon>
[00:01:47] ;player_status;JohnnyB;Moira;(-27.07, -0.12, -23.59)
[00:01:47] ;player_health;JohnnyB;200;200
[00:01:47] ;player_ult;JohnnyB;7;0
[00:01:47] ;player_status;ModWilliam;Mei;(-18.46, -0.12, -30.48)
[00:01:47] ;player_health;ModWilliam;250;250
[00:01:47] ;player_ult;ModWilliam;2;0
[00:01:47] ;player_status;hypnobeam;Reinhardt;(-3.21, 0.06, -11.33)
[00:01:47] ;player_health;hypnobeam;550;550
[00:01:47] ;player_ult;hypnobeam;2;0
[00:01:47] ;player_status;teejusb;Symmetra;(-19.69, -0.11, -30.01)
[00:01:47] ;player_health;teejusb;225;225
[00:01:47] ;player_ult;teejusb;2;0
[00:01:47] ;player_status;seniorcheese;Zarya;(-4.38, -0.12, -9.65)
[00:01:47] ;player_health;seniorcheese;400;400
[00:01:47] ;player_ult;seniorcheese;1;0
[00:01:47] ;player_status;jhan;Mei;(-4.56, -0.12, -6.30)
[00:01:47] ;player_health;jhan;239.60;250
[00:01:47] ;player_ult;jhan;2;0
[00:01:47] ;player_status;Electric;Lúcio;(-18.55, -0.12, -30.10)
[00:01:47] ;player_health;Electric;200;200
[00:01:47] ;player_ult;Electric;1;0
[00:01:47] ;player_status;MortalWombat;Reinhardt;(-12.66, -0.11, -27.60)
[00:01:47] ;player_health;MortalWombat;545.74;550
[00:01:47] ;player_ult;MortalWombat;2;0
[00:01:47] ;player_status;BiggieZ;Symmetra;(-0.15, -0.11, -9.14)
[00:01:47] ;player_health;BiggieZ;225;225
[00:01:47] ;player_ult;BiggieZ;2;0
[00:01:47] ;player_status;Catalyst;Baptiste;(-1.88, 7.32, -2.15)
[00:01:47] ;player_health;Catalyst;200;200
[00:01:47] ;player_ult;Catalyst;7;0
[00:01:47] ;player_status;SolidGhost;Lúcio;(-3.22, -0.12, -7.27)
[00:01:47] ;player_health;SolidGhost;200;200
[00:01:47] ;player_ult;SolidGhost;1;0
[00:01:47] ;player_status;Midreadias;Zarya;(-15.98, 0.36, -29.96)
[00:01:47] ;player_health;Midreadias;400;400
[00:01:47] ;player_ult;Midreadias;1;0
[00:01:47] ;used_ability_1;BiggieZ;Symmetra;<Icon>
[00:01:47] ;did_healing;SolidGhost;1.54;jhan
[00:01:47] ;did_healing;JohnnyB;3.50;MortalWombat
[00:01:47] ;did_healing;JohnnyB;0.76;MortalWombat
[00:01:47] ;did_healing;SolidGhost;3.07;jhan
[00:01:47] ;did_healing;SolidGhost;3.07;jhan
[00:01:48] ;player_status;JohnnyB;Moira;(-25.58, -0.13, -24.10)
[00:01:48] ;player_health;JohnnyB;200;200
[00:01:48] ;player_ult;JohnnyB;7;0
[00:01:48] ;player_status;ModWilliam;Mei;(-21.21, 0.50, -29.98)
[00:01:48] ;player_health;ModWilliam;250;250
[00:01:48] ;player_ult;ModWilliam;2;0
[00:01:48] ;player_status;hypnobeam;Reinhardt;(-3.74, 0.06, -11.09)
[00:01:48] ;player_health;hypnobeam;550;550
[00:01:48] ;player_ult;hypnobeam;2;0
[00:01:48] ;player_status;teejusb;Symmetra;(-19.91, -0.11, -29.28)
[00:01:48] ;player_health;teejusb;225;225
[00:01:48] ;player_ult;teejusb;2;0
[00:01:48] ;player_status;seniorcheese;Zarya;(-3.45, -0.11, -9.59)
[00:01:48] ;player_health;seniorcheese;400;400
[00:01:48] ;player_ult;seniorcheese;2;0
[00:01:48] ;player_status;jhan;Mei;(2.69, 6.00, -33.63)
[00:01:48] ;player_health;jhan;247.28;250
[00:01:48] ;player_ult;jhan;2;0
[00:01:48] ;player_status;Electric;Lúcio;(-20.92, -0.11, -34.42)
[00:01:48] ;player_health;Electric;200;200
[00:01:48] ;player_ult;Electric;2;0
[00:01:48] ;player_status;MortalWombat;Reinhardt;(-16.74, -0.12, -28.58)
[00:01:48] ;player_health;MortalWombat;550;550
[00:01:48] ;player_ult;MortalWombat;2;0
[00:01:48] ;player_status;BiggieZ;Symmetra;(0.21, -0.13, -8.04)
[00:01:48] ;player_health;BiggieZ;225;225
[00:01:48] ;player_ult;BiggieZ;2;0
[00:01:48] ;player_status;Catalyst;Baptiste;(1.89, 0.08, -4.59)
[00:01:48] ;player_health;Catalyst;200;200
[00:01:48] ;player_ult;Catalyst;8;0
[00:01:48] ;player_status;SolidGhost;Lúcio;(2.46, 6.03, -34.16)
[00:01:48] ;player_health;SolidGhost;200;200
[00:01:48] ;player_ult;SolidGhost;1;0
[00:01:48] ;player_status;Midreadias;Zarya;(-20.22, 0.09, -27.75)
[00:01:48] ;player_health;Midreadias;400;400
[00:01:48] ;player_ult;Midreadias;1;0
[00:01:48] ;did_healing;SolidGhost;2.72;jhan
[00:01:48] ;damage_dealt;Electric;40;BiggieZ
[00:01:48] ;used_ability_1;SolidGhost;Lúcio;<Icon>
[00:01:48] ;did_healing;SolidGhost;2.56;BiggieZ
[00:01:48] ;damage_dealt;Catalyst;16.43;MortalWombat
[00:01:48] ;did_healing;JohnnyB;3.36;MortalWombat
[00:01:48] ;did_healing;Electric;2.82;MortalWombat
[00:01:49] ;did_healing;JohnnyB;3.08;MortalWombat
[00:01:49] ;player_status;JohnnyB;Moira;(-26.79, -0.12, -23.30)
[00:01:49] ;player_health;JohnnyB;200;200
[00:01:49] ;player_ult;JohnnyB;8;0
[00:01:49] ;player_status;ModWilliam;Mei;(-25.67, -0.13, -26.54)
[00:01:49] ;player_health;ModWilliam;250;250
[00:01:49] ;player_ult;ModWilliam;2;0
[00:01:49] ;player_status;hypnobeam;Reinhardt;(2.91, 6.02, -35.43)
[00:01:49] ;player_health;hypnobeam;550;550
[00:01:49] ;player_ult;hypnobeam;2;0
[00:01:49] ;player_status;teejusb;Symmetra;(-23.52, 0.05, -24.50)
[00:01:49] ;player_health;teejusb;225;225
[00:01:49] ;player_ult;teejusb;2;0
[00:01:49] ;player_status;seniorcheese;Zarya;(5.38, 6.02, -35.95)
[00:01:49] ;player_health;seniorcheese;400;400
[00:01:49] ;player_ult;seniorcheese;2;0
[00:01:49] ;player_status;jhan;Mei;(3.96, 6.03, -37.81)
[00:01:49] ;player_health;jhan;250;250
[00:01:49] ;player_ult;jhan;2;0
[00:01:49] ;player_status;Electric;Lúcio;(-22.83, -0.10, -30.96)
[00:01:49] ;player_health;Electric;200;200
[00:01:49] ;player_ult;Electric;3;0
[00:01:49] ;player_status;MortalWombat;Reinhardt;(-16.47, -0.12, -28.08)
[00:01:49] ;player_health;MortalWombat;542.83;550
[00:01:49] ;player_ult;MortalWombat;2;0
[00:01:49] ;player_status;BiggieZ;Symmetra;(-4.27, -0.12, -4.73)
[00:01:49] ;player_health;BiggieZ;187.56;225
[00:01:49] ;player_ult;BiggieZ;2;0
[00:01:49] ;player_status;Catalyst;Baptiste;(-1.21, 5.06, -8.17)
[00:01:49] ;player_health;Catalyst;200;200
[00:01:49] ;player_ult;Catalyst;9;0
[00:01:49] ;player_status;SolidGhost;Lúcio;(3.76, 6.03, -39.36)
[00:01:49] ;player_health;SolidGhost;200;200
[00:01:49] ;player_ult;SolidGhost;1;0
[00:01:49] ;player_status;Midreadias;Zarya;(-19.14, 0.50, -27.78)
[00:01:49] ;player_health;Midreadias;400;400
[00:01:49] ;player_ult;Midreadias;2;0
[00:01:49] ;did_healing;Electric;3.33;MortalWombat
[00:01:49] ;used_ability_2;seniorcheese;Zarya;<Icon>
[00:01:49] ;did_healing;JohnnyB;3.64;MortalWombat
[00:01:49] ;did_healing;Electric;0.21;MortalWombat
[00:01:49] ;damage_dealt;seniorcheese;50.00;MortalWombat
[00:01:49] ;did_healing;JohnnyB;3.08;MortalWombat
[00:01:49] ;did_healing;Electric;3.33;MortalWombat
[00:01:50] ;did_healing;JohnnyB;3.36;MortalWombat
[00:01:50] ;did_healing;Electric;3.07;MortalWombat
[00:01:50] ;player_status;JohnnyB;Moira;(-28.87, 0.12, -19.71)
[00:01:50] ;player_health;JohnnyB;200;200
[00:01:50] ;player_ult;JohnnyB;8;0
[00:01:50] ;player_status;ModWilliam;Mei;(-24.98, 6.01, -42.51)
[00:01:50] ;player_health;ModWilliam;250;250
[00:01:50] ;player_ult;ModWilliam;3;0
[00:01:50] ;player_status;hypnobeam;Reinhardt;(0.80, 6.00, -39.95)
[00:01:50] ;player_health;hypnobeam;550;550
[00:01:50] ;player_ult;hypnobeam;3;0
[00:01:50] ;player_status;teejusb;Symmetra;(-25.07, 6.06, -42.61)
[00:01:50] ;player_health;teejusb;225;225
[00:01:50] ;player_ult;teejusb;2;0
[00:01:50] ;player_status;seniorcheese;Zarya;(3.33, 6.74, -39.69)
[00:01:50] ;player_health;seniorcheese;400;400
[00:01:50] ;player_ult;seniorcheese;4;0
[00:01:50] ;player_status;jhan;Mei;(2.63, 6.03, -40.29)
[00:01:50] ;player_health;jhan;250;250
[00:01:50] ;player_ult;jhan;3;0
[00:01:50] ;player_status;Electric;Lúcio;(-23.94, -0.13, -26.38)
[00:01:50] ;player_health;Electric;200;200
[00:01:50] ;player_ult;Electric;4;0
[00:01:50] ;player_status;MortalWombat;Reinhardt;(-18.01, 1.56, -30.08)
[00:01:50] ;player_health;MortalWombat;512.84;550
[00:01:50] ;player_ult;MortalWombat;3;0
[00:01:50] ;player_status;BiggieZ;Symmetra;(-5.37, 0.59, 0.54)
[00:01:50] ;player_health;BiggieZ;187.56;225
[00:01:50] ;player_ult;BiggieZ;2;0
[00:01:50] ;player_status;Catalyst;Baptiste;(-2.71, 1.50, -10.41)
[00:01:50] ;player_health;Catalyst;200;200
[00:01:50] ;player_ult;Catalyst;9;0
[00:01:50] ;player_status;SolidGhost;Lúcio;(1.74, 6.50, -40.47)
[00:01:50] ;player_health;SolidGhost;200;200
[00:01:50] ;player_ult;SolidGhost;2;0
[00:01:50] ;player_status;Midreadias;Zarya;(-17.01, -0.12, -29.33)
[00:01:50] ;player_health;Midreadias;400;400
[00:01:50] ;player_ult;Midreadias;2;0
[00:01:50] ;did_healing;JohnnyB;3.64;MortalWombat
[00:01:50] ;did_healing;Electric;3.07;MortalWombat
[00:01:50] ;used_ability_1;Midreadias;Zarya;<Icon>
[00:01:50] ;did_healing;JohnnyB;2.52;MortalWombat
[00:01:50] ;did_healing;Electric;3.07;MortalWombat
[00:01:50] ;did_healing;Electric;3.07;MortalWombat
[00:01:50] ;damage_dealt;seniorcheese;50.09;MortalWombat
