[00:02:26] ;did_healing;JohnnyB;10.56;teejusb
[00:02:26] ;did_healing;JohnnyB;8.32;teejusb
[00:02:27] ;used_ability_1;JohnnyB;Mercy;<Icon>
[00:02:27] ;player_status;teejusb;Pharah;(36.40, 30.55, -26.50)
[00:02:27] ;player_health;teejusb;200;200
[00:02:27] ;player_ult;teejusb;1;0
[00:02:27] ;player_status;ModWilliam;Echo;(40.68, 16.08, -24.89)
[00:02:27] ;player_health;ModWilliam;200;200
[00:02:27] ;player_ult;ModWilliam;1;0
[00:02:27] ;player_status;Midreadias;Sigma;(47.52, 2.97, -39.95)
[00:02:27] ;player_health;Midreadias;400;400
[00:02:27] ;player_ult;Midreadias;1;0
[00:02:27] ;player_status;BiggieZ;Symmetra;(-33.31, 2.59, -41.33)
[00:02:27] ;player_health;BiggieZ;225;225
[00:02:27] ;player_ult;BiggieZ;1;0
[00:02:27] ;player_status;jhan;Tracer;(-30.92, 2.32, -41.63)
[00:02:27] ;player_health;jhan;150;150
[00:02:27] ;player_ult;jhan;1;0
[00:02:27] ;player_status;Yomi;Lúcio;(-45.24, 2.00, -40.85)
[00:02:27] ;player_health;Yomi;200;200
[00:02:27] ;player_ult;Yomi;0;0
[00:02:27] ;player_status;JohnnyB;Mercy;(41.11, 12.34, -24.62)
[00:02:27] ;player_health;JohnnyB;200;200
[00:02:27] ;player_ult;JohnnyB;1;0
[00:02:27] ;player_status;Catalyst;Brigitte;(-31.23, 0.00, -34.79)
[00:02:27] ;player_health;Catalyst;200;200
[00:02:27] ;player_ult;Catalyst;0;0
[00:02:27] ;player_status;MortalWombat;Wrecking Ball;(16.08, -0.14, -47.18)
[00:02:27] ;player_health;MortalWombat;600;600
[00:02:27] ;player_ult;MortalWombat;1;0
[00:02:27] ;player_status;hypnobeam;Reinhardt;(-41.17, 2.00, -41.68)
[00:02:27] ;player_health;hypnobeam;550;550
[00:02:27] ;player_ult;hypnobeam;1;0
[00:02:27] ;player_status;Electric;Zenyatta;(52.29, 2.00, -40.60)
[00:02:27] ;player_health;Electric;200;200
[00:02:27] ;player_ult;Electric;1;0
[00:02:27] ;player_status;seniorcheese;D.Va;(-25.90, 0.25, -40.71)
[00:02:27] ;player_health;seniorcheese;600;600
[00:02:27] ;player_ult;seniorcheese;1;0
[00:02:27] ;used_ability_2;BiggieZ;Symmetra;<Icon>
[00:02:27] ;used_ability_1;Electric;Zenyatta;<Icon>
[00:02:28] ;player_status;teejusb;Pharah;(30.28, 30.36, -26.43)
[00:02:28] ;player_health;teejusb;200;200
[00:02:28] ;player_ult;teejusb;1;0
[00:02:28] ;player_status;ModWilliam;Echo;(32.73, 12.09, -27.18)
[00:02:28] ;player_health;ModWilliam;200;200
[00:02:28] ;player_ult;ModWilliam;1;0
[00:02:28] ;player_status;Midreadias;Sigma;(42.21, 2.00, -41.38)
[00:02:28] ;player_health;Midreadias;400;400
[00:02:28] ;player_ult;Midreadias;1;0
[00:02:28] ;player_status;BiggieZ;Symmetra;(-25.82, 0.00, -40.21)
[00:02:28] ;player_health;BiggieZ;225;225
[00:02:28] ;player_ult;BiggieZ;1;0
[00:02:28] ;player_status;jhan;Tracer;(-26.55, 0.00, -42.48)
[00:02:28] ;player_health;jhan;150;150
[00:02:28] ;player_ult;jhan;2;0
[00:02:28] ;player_status;Yomi;Lúcio;(-40.46, 3.04, -41.63)
[00:02:28] ;player_health;Yomi;200;200
[00:02:28] ;player_ult;Yomi;1;0
[00:02:28] ;player_status;JohnnyB;Mercy;(36.67, 29.29, -26.19)
[00:02:28] ;player_health;JohnnyB;200;200
[00:02:28] ;player_ult;JohnnyB;1;0
